
api-1  | 2026-06-06 22:50:51,673 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodapple "HTTP/1.1 201 Created"
db-1   | 2026-06-06 11:21:05.137 UTC [55] LOG:  checkpoint complete: wrote 378 buffers (2.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=37.805 s, sync=0.023 s, total=37.908 s; sync files=11, longest=0.022 s, average=0.003 s; distance=286 kB, estimate=286 kB; lsn=0/36E56B0, redo lsn=0/36D58E0
db-1   | 2026-06-06 11:25:27.226 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:25:31.560 UTC [55] LOG:  checkpoint complete: wrote 43 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.228 s, sync=0.034 s, total=4.334 s; sync files=10, longest=0.034 s, average=0.004 s; distance=279 kB, estimate=285 kB; lsn=0/3727510, redo lsn=0/371B778
db-1   | 2026-06-06 11:30:27.623 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:30:31.795 UTC [55] LOG:  checkpoint complete: wrote 42 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.071 s, sync=0.037 s, total=4.172 s; sync files=10, longest=0.029 s, average=0.004 s; distance=304 kB, estimate=304 kB; lsn=0/3767A40, redo lsn=0/3767A08
db-1   | 2026-06-06 11:35:27.859 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:35:31.772 UTC [55] LOG:  checkpoint complete: wrote 39 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.827 s, sync=0.020 s, total=3.913 s; sync files=10, longest=0.019 s, average=0.002 s; distance=271 kB, estimate=301 kB; lsn=0/37B2EB8, redo lsn=0/37AB9C8
db-1   | 2026-06-06 11:40:27.859 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:40:31.001 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.034 s, sync=0.041 s, total=3.143 s; sync files=10, longest=0.034 s, average=0.005 s; distance=195 kB, estimate=290 kB; lsn=0/37DC980, redo lsn=0/37DC948
db-1   | 2026-06-06 11:45:27.004 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:45:29.632 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.518 s, sync=0.029 s, total=2.628 s; sync files=9, longest=0.028 s, average=0.004 s; distance=188 kB, estimate=280 kB; lsn=0/38154B0, redo lsn=0/380B9F8
db-1   | 2026-06-06 11:50:27.732 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:50:31.473 UTC [55] LOG:  checkpoint complete: wrote 37 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.649 s, sync=0.029 s, total=3.742 s; sync files=10, longest=0.020 s, average=0.003 s; distance=260 kB, estimate=278 kB; lsn=0/384CC38, redo lsn=0/384CC00
db-1   | 2026-06-06 11:55:27.574 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 11:55:30.695 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.020 s, sync=0.037 s, total=3.121 s; sync files=10, longest=0.033 s, average=0.004 s; distance=203 kB, estimate=271 kB; lsn=0/3886500, redo lsn=0/387FA88
db-1   | 2026-06-06 12:00:27.699 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:00:30.229 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.435 s, sync=0.025 s, total=2.531 s; sync files=9, longest=0.022 s, average=0.003 s; distance=193 kB, estimate=263 kB; lsn=0/38B0128, redo lsn=0/38B00F0
db-1   | 2026-06-06 12:05:27.329 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:05:41.050 UTC [55] LOG:  checkpoint complete: wrote 136 buffers (0.8%); 0 WAL file(s) added, 0 removed, 0 recycled; write=13.615 s, sync=0.040 s, total=13.721 s; sync files=10, longest=0.028 s, average=0.004 s; distance=230 kB, estimate=260 kB; lsn=0/38F5060, redo lsn=0/38E9C10
db-1   | 2026-06-06 12:10:27.139 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:10:30.267 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.049 s, sync=0.020 s, total=3.129 s; sync files=9, longest=0.012 s, average=0.003 s; distance=222 kB, estimate=256 kB; lsn=0/3921578, redo lsn=0/3921540
db-1   | 2026-06-06 12:15:27.368 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:15:30.316 UTC [55] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.821 s, sync=0.056 s, total=2.948 s; sync files=9, longest=0.043 s, average=0.007 s; distance=172 kB, estimate=247 kB; lsn=0/39513D8, redo lsn=0/394C848
db-1   | 2026-06-06 12:20:27.416 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:20:29.733 UTC [55] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.233 s, sync=0.017 s, total=2.318 s; sync files=9, longest=0.013 s, average=0.002 s; distance=176 kB, estimate=240 kB; lsn=0/3978B18, redo lsn=0/3978AE0
db-1   | 2026-06-06 12:25:27.827 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:25:30.451 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.541 s, sync=0.018 s, total=2.625 s; sync files=9, longest=0.014 s, average=0.002 s; distance=190 kB, estimate=235 kB; lsn=0/39A84E8, redo lsn=0/39A84B0
db-1   | 2026-06-06 12:30:27.551 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:30:30.370 UTC [55] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.732 s, sync=0.019 s, total=2.819 s; sync files=9, longest=0.012 s, average=0.003 s; distance=173 kB, estimate=229 kB; lsn=0/39DB950, redo lsn=0/39D3C20
db-1   | 2026-06-06 12:35:27.470 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:35:30.486 UTC [55] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.919 s, sync=0.026 s, total=3.016 s; sync files=9, longest=0.026 s, average=0.003 s; distance=186 kB, estimate=225 kB; lsn=0/3A088E0, redo lsn=0/3A02650
db-1   | 2026-06-06 12:40:27.586 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:40:29.737 UTC [55] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.018 s, sync=0.037 s, total=2.152 s; sync files=9, longest=0.036 s, average=0.005 s; distance=152 kB, estimate=218 kB; lsn=0/3A28968, redo lsn=0/3A28930
db-1   | 2026-06-06 12:45:27.783 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:45:30.905 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.020 s, sync=0.034 s, total=3.122 s; sync files=9, longest=0.034 s, average=0.004 s; distance=198 kB, estimate=216 kB; lsn=0/3A5A2E8, redo lsn=0/3A5A2B0
db-1   | 2026-06-06 12:50:27.968 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:50:30.617 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.532 s, sync=0.029 s, total=2.650 s; sync files=9, longest=0.024 s, average=0.004 s; distance=179 kB, estimate=212 kB; lsn=0/3A87260, redo lsn=0/3A87228
db-1   | 2026-06-06 12:55:27.718 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 12:55:30.137 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.330 s, sync=0.032 s, total=2.420 s; sync files=9, longest=0.024 s, average=0.004 s; distance=172 kB, estimate=208 kB; lsn=0/3ABB408, redo lsn=0/3AB22E8
db-1   | 2026-06-06 13:00:27.220 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:00:30.330 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.020 s, sync=0.027 s, total=3.111 s; sync files=9, longest=0.018 s, average=0.003 s; distance=196 kB, estimate=207 kB; lsn=0/3AE33B8, redo lsn=0/3AE3380
db-1   | 2026-06-06 13:05:27.430 UTC [55] LOG:  checkpoint starting: time
